Codigo  	Descricao
15.13   	Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio; emissão de registro de exportação ou de crédito; cobrança ou depósito no exterior; emissão, fornecimento e cancelamento de cheques de viagem; fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas; envio e recebimento de mensagens em geral relacionadas a operações de câmbio.
15.13.01	Serviços relacionados a operações de câmbio em geral
15.13.02	Edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio 
15.13.03	Emissão de registro de exportação ou de crédito 
15.13.04	Cobrança ou depósito no exterior
15.13.05	Emissão, fornecimento e cancelamento de cheques de viagem 
15.13.06	Fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas 
15.13.07	Envio e recebimento de mensagens em geral relacionadas a operações de câmbio 
15.14   	Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres
15.14.01	Fornecimento de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres 
15.14.02	Emissão de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres 
15.14.03	Reemissão de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres 
15.14.04	Renovação de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres
15.14.05	Manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres 
15.14.06	Cartões de convênios refeição e alimentação - administração, fornecimento, emissão, reemissão, renovação, manutenção e controle de créditos
15.15   	Compensação de cheques e títulos quaisquer; serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento
15.15.01	Compensação de cheques e títulos quaisquer 
15.15.02	Serviços relacionados a depósito, inclusive depósito identificado, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento
15.15.03	Serviços relacionados a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento 
15.16   	Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo; serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral.
15.16.01	Emissão de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo 
15.16.02	Reemissão de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo 
15.16.03	Liquidação de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo
15.16.04	Alteração de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo 
15.16.05	Cancelamento de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo 
15.16.06	Baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo 
15.16.07	Serviços relacionados a transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral 
15.17   	Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão.
15.17.01	Emissão de cheques quaisquer, avulso ou por talão 
15.17.02	Fornecimento de cheques quaisquer, avulso ou por talão 
15.17.03	Devolução de cheques quaisquer, avulso ou por talão 
15.17.04	Sustação de cheques quaisquer, avulso ou por talão 
15.17.05	Cancelamento de cheques quaisquer, avulso ou por talão 
15.17.06	Oposição de cheques quaisquer, avulso ou por talão 
15.18   	Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica, emissão, reemissão, alteração, transferência e renegociação de contrato, emissão e reemissão do termo de quitação e demais serviços relacionados a crédito imobiliário.
15.18.01	Serviços relacionados a crédito imobiliário 
15.18.02	Avaliação e vistoria de imóvel ou obra 
15.18.03	Análise técnica e jurídica relacionada a crédito imobiliário 
15.18.04	Emissão de contrato de crédito imobiliário
15.18.05	Reemissão de contrato de crédito imobiliário
15.18.06	Alteração de contrato de crédito imobiliário
15.18.07	Transferência de contrato de crédito imobiliário
15.18.08	Renegociação de contrato de crédito imobiliário
15.18.09	Emissão e reemissão de termo de quitação de crédito imobiliário
15.18.10	Serviços não discriminados relativos a crédito imobiliário
16      	Serviços de transporte de natureza municipal.
16.01   	Serviços de transporte coletivo municipal rodoviário, metroviário, ferroviário e aquaviário de passageiros.
16.01.01	Ônibus (transporte rodoviário coletivo de passageiros quando prestado sob o regime de concessão ou permissão do poder público, em ônibus ou microônibus)
16.01.02	Van (transporte rodoviário coletivo de passageiros quando prestado em van, perua ou veículo congênere, com circulação adstrita a determinadas linhas ) 
16.01.05	Transporte rodoviário municipal de passageiros - casos não especificados
16.01.06	Transporte ferroviário municipal de passageiros
16.01.07	Transporte metroviário municipal de passageiros
16.01.08	Transporte aquaviário municipal de passageiros
16.01.09	Transporte escolar
16.01.10	Transporte turístico
16.01.18	Transporte aquaviário municipal coletivo de passageiros
16.01.19	Transporte escolar coletivo
16.02   	Outros serviços de transporte de natureza municipal.
16.02.01	Táxi
16.02.02	Serviços de táxi prestados por sociedades cooperativas formadas exclusivamente por profissionais autônomos
16.02.03	Transporte não coletivo de passageiros - casos não especificados em outros códigos
16.02.04	Transporte municipal de carga
16.02.05	Transporte municipal dutoviário
16.02.06	Serviços de transporte de natureza municipal, não especificados em outros códigos
16.02.07	Serviço de navegação e transporte fluvial de cargas cujo terminal de embarque ou de desembarque se localize às margens dos rios Acari e Pavuna
16.02.08	Ônibus (transporte rodoviário de passageiros contratado por pessoa física ou jurídica, sem que haja pagamento individual ao prestador do serviço pelos passageiros, em ônibus ou microônibus)
16.02.09	Van (transporte rodoviário de passageiros contratado por pessoa física ou jurídica, sem que haja pagamento individual ao prestador do serviço pelos passageiros, prestado em van, perua ou veículo congênere).
16.02.10	Transporte aquaviário municipal de passageiros
16.02.11	Transporte escolar
17      	Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.
17.01   	Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.
17.01.01	Assessoria ou consultoria de qualquer natureza, não especificada
17.01.02	Análise, exame, pesquisa, coleta, compilação ou fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares
17.02   	Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição, interpretação, revisão, tradução, apoio e infra-estrutura administrativa e congêneres.
17.02.01	Datilografia, digitação e congêneres
17.02.02	Estenografia e congêneres
17.02.03	Expediente e secretaria em geral
17.02.04	Redação
17.02.05	Edição
17.02.06	Resposta audível, interpretação, apoio e infra-estrutura administrativa e congêneres
17.02.07	Revisão
17.02.08	Tradução
17.02.09	Apoio administrativo
17.02.10	Atendimento telefônico
17.02.11	Atendimento a clientes com uso de solução integrada por multicanais (telefonia, e-mail, SMS, aplicativos e presencial)
17.03   	Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa.
17.03.01	Planejamento técnico ou congênere
17.03.02	Planejamento financeiro ou congênere
17.03.03	Planejamento administrativo ou congênere
17.03.04	Coordenação técnica ou congênere
17.03.05	Coordenação financeira ou congênere
17.03.06	Coordenação administrativa ou congênere
17.03.07	Programação técnica ou congênere
17.03.08	Programação financeira ou congênere
17.03.09	Programação administrativa ou congênere
17.03.10	Organização técnica ou congênere
17.03.11	Organização financeira ou congênere
17.03.12	Organização administrativa ou congênere
17.04   	Recrutamento, agenciamento, seleção e colocação de mão-de-obra.
17.04.01	Recrutamento e seleção de mão-de-obra
17.04.02	Agenciamento de mão-de-obra
17.04.03	Colocação de mão-de-obra
17.05   	Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço
17.05.01	Fornecimento de mão-de-obra
17.05.02	Fornecimento de mão-de-obra temporária
17.06   	Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários.
17.06.01	Propaganda e publicidade
17.06.02	Propaganda e publicidade - serviços concernentes à concepção, redação e produção  de propaganda e publicidade, inclusive divulgação de material publicitário
17.06.03	Promoção de vendas
17.06.04	Planejamento de campanhas ou sistemas de publicidade
17.06.05	Elaboração de desenhos, textos ou demais materiais publicitários
17.06.06	Pesquisa de mercado
17.06.07	Relações públicas
17.06.08	Assessoria na edição de boletins ou revistas informativas ou publicitárias
17.06.09	Anúncios fúnebres
17.06.10	Anúncios de emprego
17.06.11	Publicações de demonstrações financeiras
17.06.12	Serviços especiais ligados à atividade de publicidade e propaganda, não especificados em outros códigos
17.06.13	Produção de filmes publicitários
17.08   	Franquia (franchising).
17.08.01	Franquia (franchising)
17.09   	Perícias, laudos, exames técnicos e análises técnicas.
17.09.01	Perícia
17.09.02	Elaboração de laudos
17.09.03	Exames técnicos
17.09.04	Análise técnica
17.10   	Planejamento, organização e administração de feiras, exposições, congressos e congêneres.
17.10.01	Planejamento de feira ou congênere
17.10.02	Planejamento de exposição ou congênere
17.10.03	Planejamento de congresso ou congênere
17.10.04	Organização de feira ou congênere
17.10.05	Organização de exposição ou congênere
17.10.06	Organização de congresso ou congênere
17.10.07	Administração de feira ou congênere
17.10.08	Administração de exposição ou congênere
17.10.09	Administração de congresso ou congênere
17.11   	Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS).
17.11.01	Organização de festas
17.11.02	Organização de recepções
17.11.03	Bufê
17.11.04	Preparo de alimentos
17.12   	Administração em geral, inclusive de bens e negócios de terceiros.
17.12.01	Administração de bens de terceiros
17.12.02	Administração de negócios de terceiros
17.12.03	Administração de instalação para a prática esportiva
17.12.04	Administração de cemitérios
17.12.05	Administração de condomínios
17.12.06	Administração escolar
17.12.07	Administração em geral
17.12.08	Administração de benefícios relativos a planos de assistência à saúde
17.13   	Leilão e congêneres.
17.13.01	Leilão ou congênere
17.14   	Advocacia.
17.14.01	Advocacia
17.15   	Arbitragem de qualquer espécie, inclusive jurídica.
17.15.01	Arbitragem de qualquer espécie, inclusive jurídica
17.16   	Auditoria.
17.16.01	Auditoria
17.16.02	Auditoria de projetos de créditos de carbono
17.16.03	Serviços de inventário de emissões de gases de efeito estufa
17.16.04	Auditoria de inventários de emissões de gases de efeito estufa
17.17   	Análise de Organização e Métodos.
17.17.01	Análise de organização e métodos
17.18   	Atuária e cálculos técnicos de qualquer natureza.
17.18.01	Atuária
17.18.02	Cálculos técnicos
17.19   	Contabilidade, inclusive serviços técnicos e auxiliares.
17.19.01	Contabilidade, inclusive serviços técnicos e auxiliares
17.20   	Consultoria e assessoria econômica ou financeira.
17.20.01	Consultoria e assessoria econômica ou financeira
17.20.02	Serviços de registro e certificação de créditos de carbono
17.20.03	Serviços de disponibilização de plataformas de transação de créditos de carbono
17.21   	Estatística.
17.21.01	Estatística
17.22   	Cobrança em geral.
17.22.01	Cobrança
17.23   	Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring).
17.23.01	Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionadas a operações de faturização (factoring) 
17.24   	Apresentação de palestras, conferências, seminários e congêneres.
17.24.01	Apresentação de palestras e congêneres
17.24.02	Apresentação em conferências e congêneres
17.24.03	Apresentação em seminários e congêneres
17.25   	Inserção de textos, desenhos e outros materiais de propaganda e publicidade, em qualquer meio (exceto em livros, jornais, periódicos e nas modalidades de serviços de radiodifusão sonora e de sons e imagens de recepção livre e gratuita).
17.25.01	Inserção de textos, desenhos ou outros materiais de propaganda e publicidade, em qualquer meio (exceto em livros, jornais, periódicos e nas modalidades de serviços de radiodifusão sonora e de sons e imagens de recepção livre e gratuita)
17.25.02	Veiculação de publicidade na internet, contratada por pessoa jurídica
17.25.03	Veiculação de publicidade na internet, contratada por pessoa natural
17.25.04	Serviços de veiculação de publicidade, quando efetuada por meio, exclusivamente, da internet.
18      	Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres.
18.01   	Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres.
18.01.01	Serviços de regulação de sinistros vinculados a contratos de seguros
18.01.02	Inspeção e avaliação de riscos para cobertura de contratos de seguros
18.01.03	Prevenção e gerência de riscos seguráveis e congêneres
18.01.04	Liderança em co-seguro
18.01.05	Serviços relativos a seguros
19      	Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.
19.01   	Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.
19.01.01	Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres
19.01.02	Serviços relativos a títulos de capitalização e congêneres
20      	Serviços portuários, aeroportuários, ferroportuários, de terminais rodoviários, ferroviários e metroviários.
20.01   	Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, serviços de praticagem, capatazia, armazenagem de qualquer natureza, serviços acessórios, movimentação de mercadorias, serviços de apoio marítimo, de movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres.
20.01.01	Serviços ferroportuários
20.01.02	Logística ferroportuária
20.01.03	Armazenagem de qualquer natureza, relacionada a terminal ferroportuário
20.01.04	Movimentação de mercadorias em terminal ferroportuário e/ou operaçoes congêneres
20.01.05	Serviços acessórios ferroportuários
20.01.06	Administração da infra-estrutura ferroportuária
20.01.07	Serviços portuários
20.01.08	Serviços vinculados às operações dos terminais portuários na Zona Oeste do Município do Rio de Janeiro, de importação de carvão e outros insumos e exportação de placas de aço produzidas no Complexo Siderúrgico destinado à produção e à exportação de placas de aço na Zona Oeste do Município do Rio de Janeiro, satisfazendo os termos da Lei nº 4.372, de 13 de junho de 2006
20.01.09	Logística portuária
20.01.10	Utilização de porto
20.01.11	Movimentação de passageiros em porto
20.01.12	Reboque de embarcações e/ou rebocador escoteiro
20.01.13	Atracação e desatracação
20.01.14	Serviços de praticagem
20.01.15	Capatazia em porto
20.01.16	Armazenagem de qualquer natureza, em porto ou relacionada a porto
20.01.18	Movimentação de mercadorias em porto e/ou operações congêneres
20.01.19	Serviços de apoio marítimo e/ou movimentação ao largo
20.01.20	Escolta de embarcações
20.01.21	Serviços de armador
20.01.22	Serviços de estiva, conferência e congêneres, em portos
20.01.23	Administração da infra-estrutura portuária
20.01.24	Serviços portuários acessórios
20.02   	Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres.
20.02.01	Serviços aeroportuários
20.02.02	Logística aeroportuária
20.02.03	Utilização de aeroporto
20.02.04	Movimentação de passageiros em aeroporto
20.02.05	Armazenagem de qualquer natureza, em aeroporto ou relacionada a aeroporto
20.02.06	Movimentação de mercadorias em aeroporto e operaçoes congêneres
20.02.07	Apoio aeroportuário
20.03   	Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive     suas operações, logística e congêneres.
20.03.01	Serviços de terminais rodoviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres
20.03.02	Serviços de terminais ferroviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres
20.03.03	Serviços de terminais metroviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres
21      	Serviços de registros públicos, cartorários e notariais
21.01   	Serviços de registros públicos, cartorários e notariais
21.01.01	Serviços de registros públicos, cartorários e notariais
22      	Serviços de exploração de rodovia.
22.01   	Serviços de exploração de rodovia
22.01.01	Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e/ou outros serviços definidos em contratos, atos de concessão ou de permissão ou em normas oficiais
23      	Serviços de programação e comunicação visual, desenho industrial e congêneres.
23.01   	Serviços de programação e comunicação visual, desenho industrial e congêneres.
23.01.01	Serviços de programação visual, comunicação visual ou congêneres
23.01.02	Desenho industrial ou serviço congênere
24      	Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.
24.01   	Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres.
24.01.01	Chaveiro
24.01.02	Confecção de carimbos
24.01.03	Confecção de placas, sinalização visual, banners, adesivos e congêneres
25      	Serviços funerários.
25.01   	Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu, essa e outros adornos; embalsamamento, embelezamento, conservação ou restauração de cadáveres.
25.01.01	Serviços funerários
25.02   	Translado intramunicipal e cremação de corpos e partes de corpos cadavéricos.
25.02.01	Cremação de corpos ou partes de corpos cadavéricos
25.02.02	Translado intramunicipal de corpos e partes de corpos cadavéricos
25.03   	Planos ou convênio funerários.
25.03.01	Plano funerário
25.03.02	Convênio funerário
25.04   	Manutenção e conservação de jazigos e cemitérios. 
25.04.01	Manutenção e conservação de jazigos e cemitérios
25.05   	Cessão de uso de espaços em cemitérios para sepultamento.
25.05.01	Cessão de uso de espaços em cemitérios para sepultamento
26      	Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres.
26.01   	Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres.
26.01.01	Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas
26.01.02	Serviços de courrier ou congêneres
27      	Serviços de assistência social.
27.01   	Serviços de assistência social.
27.01.01	Serviços de assistência social
28      	Serviços de avaliação de bens e serviços de qualquer natureza. 
28.01   	Serviços de avaliação de bens e serviços de qualquer natureza.
28.01.01	Avaliação de bens de qualquer natureza
28.01.02	Avaliação de serviços de qualquer natureza
28.01.03	Avaliação de imóveis
29      	Serviços de biblioteconomia.
29.01   	Serviços de biblioteconomia.
29.01.01	Serviços de biblioteconomia
30      	Serviços de biologia, biotecnologia e química.
30.01   	Serviços de biologia, biotecnologia e química.
30.01.01	Serviços de biologia
30.01.02	Serviços de biotecnologia
30.01.03	Serviços de química
31      	Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres. 
31.01   	Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres.
31.01.01	Serviços técnicos em edificações
31.01.02	Serviços técnicos em eletrônica
31.01.03	Serviços técnicos em eletrotécnica
31.01.04	Serviços técnicos em mecânica
31.01.05	Serviços técnicos em telecomunicações
31.01.06	Serviços técnicos e congêneres, não especificados
31.01.07	SVA ¿ serviços de valor adicionado suportados por serviços de telecomunicações, nos termos da Lei Federal nº 9.472/97
32      	Serviços de desenhos técnicos.
32.01   	Serviços de desenhos técnicos.
32.01.01	Serviços de desenhos técnicos
33      	Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.
33.01   	Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.
33.01.01	Desembaraço aduaneiro
33.01.02	Comissário aduaneiro
33.01.03	Despachante aduaneiro
33.01.04	Serviços de despachantes e congêneres
34      	Serviços de investigações particulares, detetives e congêneres.
34.01   	Serviços de investigações particulares, detetives e congêneres.
34.01.01	Serviços de investigações particulares, detetives ou congêneres
35      	Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas.
35.01   	Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas.
35.01.01	Reportagem
35.01.02	Jornalismo
35.01.03	Assessoria de imprensa
35.01.04	Relações públicas
35.01.05	Assessoria de relações públicas
36      	Serviços de meteorologia.
36.01   	Serviços de meteorologia.
36.01.01	Serviços de meteorologia
37      	Serviços de artistas, atletas, modelos e manequins.
37.01   	Serviços de artistas, atletas, modelos e manequins.
37.01.01	Serviços de artistas
37.01.02	Serviços de atletas
37.01.03	Serviços de modelos e manequins
37.01.04	Fornecimento de elenco (cast) de artistas e figurantes
38      	Serviços de museologia.
38.01   	Serviços de museologia.
38.01.01	Museologia
39      	Serviços de ourivesaria e lapidação.
39.01   	Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço).
39.01.01	Serviços de ourivesaria e lapidação
40      	Serviços relativos a obras de arte sob encomenda.
40.01   	Obras de arte sob encomenda.
40.01.01	Serviços relativos a obras de arte sob encomenda
